date,sleep_start,sleep_end,sleep_duration,sleep_score,deep_sleep_percentage,rem_sleep_percentage,light_sleep_percentage,awake_percentage,awakenings,caffeine_mg,last_caffeine_time,hours_before_sleep,screen_time_before_sleep,stress_label,exercise_type,exercise_timing,exercise_duration,exercise_calories
2026-03-19,01:18,06:53,5.23,,20.6,7.8,65.4,6.3,12,,,,,,ランニング,17:25,36.0,0.0
2026-03-20,01:21,07:49,6.02,,12.4,21.6,59.0,7.0,18,,,,,,,,,
2026-03-21,01:57,06:04,3.85,,15.4,17.0,61.1,6.5,9,,,,,,ランニング,17:31,46.0,0.0
2026-03-22,01:01,09:55,8.37,,12.5,16.1,65.4,6.0,20,,,,,,ランニング,10:21,105.0,0.0
2026-03-23,01:07,07:45,6.45,,14.1,30.2,53.0,2.8,8,,,,,,,,,
2026-03-24,00:36,08:41,7.53,,10.3,13.0,69.9,6.8,21,,,,,,ランニング,20:18,44.0,0.0
2026-03-25,00:19,06:50,6.05,,10.5,10.0,72.4,7.2,16,,,,,,ランニング,21:45,26.0,0.0
2026-03-27,00:16,07:59,7.38,,7.1,29.6,59.0,4.3,14,,,,,,,,,
2026-03-28,23:51,06:40,6.42,,10.8,19.1,64.3,5.9,17,,,,,,ランニング,20:25,57.0,0.0
2026-03-29,01:42,08:57,6.85,,12.4,8.5,73.6,5.5,17,,,,,,ランニング,10:10,113.0,0.0
2026-03-30,23:14,06:49,6.58,,13.0,22.2,51.6,13.2,16,,,,,,,,,
2026-03-31,03:56,07:01,2.7,,11.4,16.8,59.5,12.4,8,,,,,,,,,
2026-04-01,00:08,07:56,7.4,,17.9,13.5,63.5,5.1,21,,,,,,,,,
2026-04-02,23:56,06:54,5.68,,12.4,11.5,57.7,18.4,10,,,,,,,,,
2026-04-03,23:48,06:49,6.72,,16.6,25.7,53.4,4.3,9,,,,,,,,,
2026-04-04,00:29,06:58,6.23,,19.3,9.8,67.1,3.9,13,,,,,,,,,
2026-04-05,00:26,07:26,6.82,,18.6,15.0,63.8,2.6,9,,,,,,,,,
2026-04-06,00:19,06:52,6.32,,19.8,7.1,69.5,3.6,16,,,,,,,,,
2026-04-07,23:32,06:34,6.62,,12.1,23.7,58.3,5.9,19,,,,,,,,,
2026-04-08,22:54,08:28,9.12,,19.9,12.7,62.7,4.7,18,,,,,,,,,
2026-04-09,00:14,06:44,6.03,,10.5,16.2,66.2,7.2,17,,,,,,,,,
2026-04-10,00:24,07:56,7.05,,10.4,17.7,65.5,6.4,16,,,,,,ランニング,18:39,30.0,0.0
2026-04-11,00:41,08:23,7.37,,18.4,19.0,58.2,4.3,12,,,,,,ランニング,20:26,22.0,0.0
2026-04-12,00:20,07:30,6.25,,19.1,12.6,55.6,12.8,16,,,,,,,,,
2026-04-13,23:45,06:48,6.73,,14.2,18.9,62.4,4.5,14,,,,,,ランニング,16:17,50.0,0.0
2026-04-14,23:44,07:47,7.58,,14.5,18.2,61.5,5.8,21,,,,,,,,,
